Date,Open,High,Low,Close,Volume,Change
2017-10-19,2025,2025,2015,2025,5054,0.0
2017-10-20,2015,2025,2015,2025,1040,0.0
2017-10-23,2015,2030,2005,2020,16638,-0.0024691358024691024
2017-10-24,2020,2020,2020,2020,29,0.0
2017-10-25,2020,2025,2015,2025,1457,0.0024752475247524774
2017-10-26,2020,2025,2020,2025,3240,0.0
2017-10-27,2015,2020,2015,2020,1786,-0.0024691358024691024
2017-10-30,2015,2020,2010,2015,11280,-0.0024752475247524774
2017-10-31,2010,2015,2010,2015,3317,0.0
2017-11-01,2015,2020,2015,2020,1011,0.002481389578163684
2017-11-02,2015,2020,2000,2020,5832,0.0
2017-11-03,2010,2010,2005,2005,2200,-0.007425742574257432
2017-11-06,2005,2010,2005,2010,151,0.0024937655860348684
2017-11-07,2010,2010,2005,2005,7734,-0.0024875621890547706
2017-11-08,2005,2005,2000,2000,1360,-0.0024937655860348684
2017-11-09,2000,2005,2000,2000,30113,0.0
2017-11-10,2000,2005,2000,2000,2713,0.0
2017-11-13,2000,2005,2000,2000,10540,0.0
2017-11-14,2000,2010,1995,2010,24915,0.004999999999999893
2017-11-15,2000,2005,1995,2005,2726,-0.0024875621890547706
2017-11-16,2000,2005,2000,2005,1294,0.0
2017-11-17,1995,2000,1995,2000,2407,-0.0024937655860348684
2017-11-20,1995,1995,1995,1995,3460,-0.0024999999999999467
2017-11-21,1985,1990,1985,1985,8856,-0.005012531328320802
2017-11-22,1985,1990,1985,1990,739,0.0025188916876575096
2017-11-23,1985,2000,1985,2000,2399,0.005025125628140614
2017-11-24,1985,1985,1985,1985,40845,-0.007499999999999951
2017-11-27,1985,1995,1980,1995,3830,0.005037783375314797
2017-11-28,1985,1985,1980,1985,1545,-0.005012531328320802
2017-11-29,1985,1990,1980,1980,19196,-0.0025188916876573986
2017-11-30,1980,1995,1980,1995,9016,0.007575757575757569
2017-12-01,1990,2000,1990,2000,24735,0.0025062656641603454
2017-12-04,2000,2000,1985,1985,10019,-0.007499999999999951
